,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela,Vietnam
2020-03-15,0.0,0.04444444444444445,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.039541745367455534,0.0,0.0,0.0,0.0,0.07142857142857142,,0.0,0.25,,0.0,0.017699115044247787,0.042735042735042736,0.029055690072639227,,0.0,0.0,0.0,0.0,,0.0,0.02325581395348837,0.0,0.11627906976744184,0.07857142857142857,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0
2020-03-16,0.0,0.03571428571428571,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.03969987535942147,0.0,0.0,0.0,0.0,0.054054054054054064,,0.5,0.25,,0.0,0.01680672268907563,0.037313432835820885,0.03558718861209965,,0.0,0.0,0.0,0.0,,0.0,0.01818181818181818,0.0,0.05813953488372092,0.08450704225352113,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0
2020-03-17,0.0,0.029411764705882356,0.0,,0.0,0.0,0.003115264797507788,0.0,0.0,0.0,0.0398480100668657,0.0,0.0,0.0,0.047619047619047616,0.03448275862068965,,0.16666666666666666,0.14285714285714285,,0.0,0.02112676056338028,0.02906976744186046,0.0335946248600224,,0.0029717682020802376,0.0,0.0,0.0,,0.0,0.014492753623188406,0.0,0.07692307692307693,0.06417112299465241,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0
2020-03-18,0.0,0.02531645569620253,0.07142857142857142,,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.03996202313136544,0.0,0.0,0.14285714285714285,0.047619047619047616,0.018018018018018014,,0.16666666666666666,0.14285714285714285,,0.0,0.019230769230769232,0.08370044052863436,0.03448275862068965,,0.002531645569620253,0.0,0.0,0.0,,0.004405286343612335,0.011627906976744186,0.0,0.10344827586206896,0.09405940594059406,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0
2020-03-19,0.0,0.030927835051546393,0.05882352941176471,,0.0,0.0,0.00966183574879227,0.0,0.0,0.0,0.0400340085760757,0.0,0.014492753623188406,0.09090909090909093,0.05882352941176471,0.01507537688442211,0.0,0.1111111111111111,0.14285714285714285,,0.0,0.020618556701030927,0.08038585209003216,0.03409090909090909,,0.0022222222222222227,0.006097560975609756,0.0,0.0,0.0,0.00598802395209581,0.009174311926605505,0.0,0.08547008547008547,0.07834101382488479,0.0,0.0,0.0,0.0036764705882352936,0.0,0.0,0.0
2020-03-20,0.0,0.0234375,0.05,,0.0,0.0,0.013871374527112231,0.0,0.0,0.0,0.040036923076923074,0.0,0.011235955056179777,0.0625,0.027777777777777776,0.013623978201634877,0.0,0.08333333333333333,0.14285714285714285,0.0,0.0,0.020491803278688527,0.08672086720867209,0.033268101761252444,,0.002912621359223301,0.009852216748768471,0.0,0.0,0.0,0.00410958904109589,0.007299270072992701,0.0,0.1111111111111111,0.0782608695652174,0.0,0.0,0.0,0.003105590062111801,0.0,0.0,0.0
2020-03-21,0.0,0.02531645569620253,0.08,,0.0,0.0,0.014691478942213516,0.0,0.0,0.0,0.04008363569276182,0.0,0.017094017094017096,0.047619047619047616,0.017857142857142856,0.01383399209486166,0.0,0.05882352941176471,0.14285714285714285,0.0,0.0,0.01212121212121212,0.08444444444444445,0.0339943342776204,,0.0033812341504649195,0.00796812749003984,0.0,0.0,0.0,0.006443298969072165,0.005,0.05555555555555555,0.09433962264150944,0.06188925081433225,0.0046296296296296285,0.0,0.0,0.0024330900243309003,0.0,0.0,0.0
2020-03-22,0.029411764705882356,0.015037593984962403,0.07407407407407407,,0.0,0.0,0.016170763260025874,0.0,0.0,0.001455604075691412,0.04020384355621048,0.008658008658008658,0.01492537313432836,0.028571428571428567,0.01485148514851485,0.01774397972116603,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.017676767676767676,0.0933852140077821,0.036231884057971016,,0.007656967840735069,0.00949367088607595,0.0,0.0,0.0,0.006857142857142857,0.009584664536741214,0.045454545454545456,0.09366391184573004,0.06578947368421052,0.0043956043956043965,0.0,0.0,0.001669449081803005,0.0,0.0,0.0
2020-03-23,0.024390243902439025,0.0132890365448505,0.09090909090909093,0.0,0.0,0.0,0.017671517671517672,0.0,0.0,0.0024968789013732834,0.040172764975827634,0.010830324909747292,0.012658227848101266,0.025,0.012244897959183671,0.01834862385321101,0.0,0.05,0.05,0.0,0.0,0.02004008016032064,0.0846286701208981,0.03583916083916084,,0.00922266139657444,0.010899182561307902,0.0,0.0,0.0,0.00720164609053498,0.017391304347826087,0.045454545454545456,0.09873417721518987,0.07142857142857142,0.003929273084479371,0.0,0.0,0.0013869625520110955,0.0,0.0,0.0
2020-03-24,0.02325581395348837,0.015503875968992246,0.10256410256410256,0.0,0.0,0.0,0.02047174009790832,0.0,0.0,0.002047082906857728,0.040212768565160366,0.007936507936507936,0.011299435028248588,0.02083333333333333,0.019230769230769232,0.024953789279112758,0.0,0.047619047619047616,0.2,0.0,0.0,0.018656716417910446,0.08017492711370262,0.03451109285127362,0.0,0.009852216748768471,0.012345679012345678,0.0,0.0,0.0,0.007525870178739417,0.017391304347826087,0.07407407407407407,0.10817307692307693,0.06340579710144928,0.003584229390681004,0.0,0.0,0.004836759371221282,0.0,0.0,0.0
