,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Brazil,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,4.161329165955957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,2.609181228019526e-07,5.870358145607004e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,9.9139486351484e-06,4.670005720757008e-08,0.0,4.72779518641109e-07,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,4.6103594756574904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,3.399842206207261e-07,5.870358145607004e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.1452319975085222e-05,4.670005720757008e-08,0.0,4.72779518641109e-07,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,4.753134856507971e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,4.2695692822137696e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.2306970719494568e-05,4.670005720757008e-08,0.0,4.871061707211428e-07,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,4.8990367055522556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,4.7439658691264107e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.2819761166140172e-05,4.670005720757008e-08,0.0,4.871061707211428e-07,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.0325021588922914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,5.297428553857825e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.3161621463903913e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.155962914012146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,6.246221727683107e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.3845342059431387e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.1843095589693216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,6.720618314595749e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.4358132506076993e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.216130057475171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,7.511279292783482e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.4358132506076993e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.248992712045622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,8.855402955702633e-07,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.4529062654958862e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.3498039420281264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.0832055401171972e-06,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.4529062654958862e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,1.0462325453754977e-07,5.35126296051857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.178084857499725e-06,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.521278325048634e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-24,2.5688225449936335e-08,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,1.0462325453754977e-07,5.366478439061759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.2650575651003762e-06,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,1.521278325048634e-05,4.670005720757008e-08,0.0,5.014328228011762e-07,0.0
2020-02-25,2.5688225449936335e-08,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,1.0462325453754977e-07,5.4021201764711495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.3678434922647815e-06,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,9.054184864389882e-09,0.0,0.0,0.0,2.7376987552185672e-08,1.5554643548250077e-05,4.670005720757008e-08,0.0,5.300861269612436e-07,0.0
2020-02-26,2.5688225449936335e-08,0.0,0.0,0.0,0.0,4.704567088817978e-09,5.981229347188891e-08,1.0462325453754977e-07,5.430744729712218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.5180690781204515e-06,6.797256800176531e-07,0.0,0.0,3.432084942180352e-08,0.0,9.054184864389882e-09,0.0,0.0,0.0,2.7376987552185672e-08,1.5896503846013815e-05,4.670005720757008e-08,0.0,5.730660832013442e-07,0.0
