,Serbia,South Sudan,US,Guinea,Jordan,Barbados,Oman,Marshall Islands,Nicaragua,Uzbekistan,Chad,Kiribati,Bhutan,Kosovo,Summer Olympics 2020,Djibouti,Vietnam,Eswatini,Cote d'Ivoire,Belarus,Liechtenstein,Suriname,Finland,Austria,Afghanistan,Mauritania,Russia,Vanuatu,Iraq,Saint Vincent and the Grenadines,Lithuania,Azerbaijan,Comoros,Haiti,Maldives,Senegal,Hungary,Qatar,Gambia,San Marino,Kazakhstan,Portugal,Congo (Kinshasa),Ghana,Guinea-Bissau,Ireland,Nepal,Angola,Mozambique,Saint Lucia,Thailand,Uruguay,Colombia,Luxembourg,Bahamas,Laos,Mongolia,Turkey,Indonesia,South Africa,Montenegro,MS Zaandam,Guatemala,Moldova,Cabo Verde,North Macedonia,Greece,Trinidad and Tobago,France,Mauritius,Paraguay,Niger,Brazil,Costa Rica,Malta,Albania,Liberia,Central African Republic,Sweden,Lebanon,Netherlands,Cameroon,Poland,Slovenia,Egypt,Armenia,Spain,Belize,Congo (Brazzaville),Tanzania,Saint Kitts and Nevis,Yemen,Somalia,Equatorial Guinea,Peru,Argentina,Syria,Saudi Arabia,Burundi,Honduras,Gabon,Seychelles,Sri Lanka,Ecuador,Sao Tome and Principe,Cambodia,Brunei,Malawi,Tunisia,United Arab Emirates,Switzerland,Georgia,Zambia,Rwanda,Chile,El Salvador,Grenada,Ethiopia,Sudan,Burkina Faso,Lesotho,Eritrea,Norway,Uganda,Burma,Romania,Botswana,Bahrain,Israel,Diamond Princess,Solomon Islands,New Zealand,Latvia,Tajikistan,Bangladesh,Nigeria,Mali,Morocco,Fiji,Guyana,China,Cuba,Andorra,Dominica,Kenya,Mexico,Dominican Republic,Cyprus,Kyrgyzstan,Algeria,Bolivia,Antigua and Barbuda,Iceland,Bulgaria,Iran,West Bank and Gaza,Italy,Japan,Denmark,Slovakia,Timor-Leste,Taiwan*,Canada,"Korea, South",Venezuela,Togo,Philippines,Madagascar,Malaysia,Bosnia and Herzegovina,Palau,Singapore,United Kingdom,Benin,Croatia,Ukraine,Micronesia,Namibia,India,Holy See,Libya,Sierra Leone,Czechia,Zimbabwe,Jamaica,Germany,Monaco,Panama,Samoa,Estonia,Kuwait,Pakistan,Papua New Guinea,Australia,Belgium
2020-02-11,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.025052944622178164,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-12,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.024955874796130387,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-13,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.022856665831872444,,,,,,,,,,,,,,,,0.0,0.030303030303030304,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-14,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.022921124807860394,,,,,,,,,,,,,,,,0.0,0.023255813953488372,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-15,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.02430824550889451,,,,,,,,,,,,,,,,0.0,0.018518518518518517,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-16,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.025045027158112687,,,,,,,,,,,,,,,,0.0,0.016666666666666666,,,,0.05,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-17,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0257337714333048,,,,,,,,,,,,,,,,0.0,0.014925373134328358,,,,0.045454545454545456,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-18,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.02699060786136826,,,,,,,,,,,,,,,,0.0,0.02531645569620253,,,,0.045454545454545456,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-19,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.02835738886878677,,,,,,,,,,,,,,1.0,,0.0,0.023529411764705882,,,,0.043478260869565216,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-20,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0031545741324921135,,,,,,,,,,,0.02980939568709458,,,,,,,,,,,,,,0.4,,0.0,0.021052631578947368,,,,0.041666666666666664,0.0,0.009615384615384616,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
