,Australia,Benin,Fiji,Algeria,Djibouti,Diamond Princess,India,Saint Lucia,Chile,Sao Tome and Principe,Cyprus,Central African Republic,Haiti,Cambodia,Belize,Dominica,Spain,Madagascar,Congo (Kinshasa),Samoa,Antigua and Barbuda,Costa Rica,Maldives,China,Ethiopia,Cameroon,Andorra,Malawi,Argentina,Guinea-Bissau,Slovakia,Vietnam,Greece,San Marino,Taiwan*,Slovenia,Turkey,Uzbekistan,Somalia,Egypt,Cote d'Ivoire,Congo (Brazzaville),Israel,Czechia,Bolivia,Malaysia,Lebanon,Jordan,Japan,North Macedonia,Montenegro,Pakistan,New Zealand,Micronesia,Brazil,Guinea,Mauritius,Finland,Austria,Malta,Mongolia,Solomon Islands,Iraq,Tanzania,Honduras,Togo,Gambia,MS Zaandam,Sierra Leone,Peru,Qatar,Timor-Leste,Russia,Sweden,Indonesia,Armenia,Burkina Faso,Iceland,Paraguay,Kiribati,Bahrain,Eritrea,Kosovo,South Sudan,"Korea, South",Estonia,Zambia,Colombia,Bahamas,Uruguay,Seychelles,Netherlands,Papua New Guinea,Tunisia,Oman,Azerbaijan,Philippines,Latvia,Saint Kitts and Nevis,Vanuatu,Guatemala,Chad,Equatorial Guinea,Romania,Barbados,Afghanistan,Rwanda,Gabon,Mozambique,Liechtenstein,Burundi,Singapore,Botswana,Bulgaria,Morocco,Comoros,Namibia,Poland,Denmark,Senegal,Luxembourg,Germany,United Arab Emirates,South Africa,Albania,Bosnia and Herzegovina,United Kingdom,Yemen,Belarus,Croatia,Burma,Syria,Monaco,Saudi Arabia,Liberia,Sri Lanka,Grenada,Brunei,El Salvador,Ecuador,Nigeria,Zimbabwe,Laos,Norway,Thailand,West Bank and Gaza,Tajikistan,Kazakhstan,Canada,Trinidad and Tobago,Nicaragua,Ireland,Switzerland,Venezuela,Eswatini,Mexico,Niger,Bhutan,Moldova,Lesotho,Marshall Islands,Jamaica,Mali,Lithuania,Nepal,Italy,Sudan,Dominican Republic,Cabo Verde,France,Serbia,Belgium,Uganda,Bangladesh,Ghana,Holy See,Suriname,Kyrgyzstan,Cuba,Libya,Guyana,Mauritania,Panama,US,Ukraine,Kuwait,Hungary,Angola,Georgia,Saint Vincent and the Grenadines,Kenya,Portugal,Iran
2020-02-11,0.13333333333333333,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.1044473482629658,,,,,,,,0.4,,,0.05555555555555555,,,,,,,,,,,0.16666666666666666,,,0.3333333333333333,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.10714285714285714,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.19148936170212766,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.23076923076923078,,,,,,,,,
2020-02-12,0.13333333333333333,,,,,0.0,0.0,,,,,,,1.0,,,0.0,,,,,,,0.11354141066601131,,,,,,,,0.4,,,0.05555555555555555,,,,,,,,,,,0.16666666666666666,,,0.32142857142857145,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.25,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.3,,,,,,,,,,0.0,0.125,,,,0.0625,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,0.14285714285714285,,,,,,,,,,,,,,,,1.0,0.0,,,,0.18181818181818182,,0.0,,,,,,,,,,,,0.23076923076923078,,,,,,,,,
2020-02-13,0.5333333333333333,,,,,0.0,0.0,,,,,,,1.0,,,0.0,,,,,,,0.10379831371566908,,,,,,,,0.4375,,,0.05555555555555555,,,,,,,,,,,0.15789473684210525,,,0.2727272727272727,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.25,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.25862068965517243,,,,,,,,,,0.0625,0.125,,,,0.058823529411764705,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,0.14285714285714285,,,,,,,,,,,,,,,,1.0,0.0,,,,0.18181818181818182,,0.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,
2020-02-14,0.5333333333333333,,,,,0.0,0.0,,,,,,,1.0,,,0.0,,,,,,,0.12021157961361102,,,,,,,,0.4375,,,0.1111111111111111,,,,,0.0,,,,,,0.15789473684210525,,,0.20930232558139536,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.25,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.2537313432835821,,,,,,,,,,0.0625,0.125,,,,0.05555555555555555,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,0.14285714285714285,,,,,,,,,,,,,,,,1.0,0.0,,,,0.18181818181818182,,0.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,
2020-02-15,0.5333333333333333,,,,,0.0,0.0,,,,,,,1.0,,,1.0,,,,,,,0.13590984169675355,,,,,,,,0.4375,,,0.1111111111111111,,,,,0.0,,,,,,0.3181818181818182,,,0.2222222222222222,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.32142857142857145,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.0625,0.375,,,,0.05555555555555555,,,,,,,,,1.0,,,,,,,,,0.38235294117647056,,,,0.14285714285714285,,,,,,,,,,,,,,,,1.0,0.0,,,,0.3333333333333333,,0.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,
2020-02-16,0.5333333333333333,,,,,0.0,1.0,,,,,,,1.0,,,1.0,,,,,,,0.15252506629983123,,,,,,,,0.4375,,,0.1,,,,,0.0,,,,,,0.3181818181818182,,,0.2,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.3103448275862069,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.24,,,,,,,,,,0.0625,0.4444444444444444,,,,0.4444444444444444,,,,,,,,,1.0,,,,,,,,,0.4411764705882353,,,,0.14285714285714285,,,,,,,,,,,,,,,,1.0,0.0,,,,0.3333333333333333,,0.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,
2020-02-17,0.6666666666666666,,,,,0.0,1.0,,,,,,,1.0,,,1.0,,,,,,,0.17204627661043156,,,,,,,,0.4375,,,0.09090909090909091,,,,,0.0,,,,,,0.3181818181818182,,,0.1791044776119403,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.3116883116883117,,,,,,,,,,0.0625,0.4444444444444444,,,,0.42105263157894735,,,,,,,,,1.0,,,,,,,,,0.42857142857142855,,,,0.125,,,,,,,,,,,,,,,,1.0,0.0,,,,0.3333333333333333,,1.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,
2020-02-18,0.6666666666666666,,,,,0.0,1.0,,,,,,,1.0,,,1.0,,,,,,,0.19142714691892038,,,,,,,,0.4375,,,0.09090909090909091,,,,,0.0,,,,,,0.5909090909090909,,,0.16455696202531644,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.3870967741935484,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.35802469135802467,,,,,,,,,,0.75,0.4444444444444444,,,,0.42105263157894735,,,,,,,,,1.0,,,,,,,,,0.42857142857142855,,,,0.125,,,,,,,,,,,,,,,,1.0,0.0,,,,0.3333333333333333,,1.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,
2020-02-19,0.6666666666666666,,,,,0.001610305958132045,1.0,,,,,,,1.0,,,1.0,,,,,,,0.21391334646671759,,,,,,,,0.4375,,,0.08695652173913043,,,,,0.0,,,,,,0.6818181818181818,,,0.21176470588235294,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.3870967741935484,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.40476190476190477,,,,,,,,,,0.75,0.4444444444444444,,,,0.4,,,,,,,,,1.0,,,,,,,,,0.42857142857142855,,,,0.125,,,,,,,,,,,,,,,,1.0,0.0,,,,0.3333333333333333,,1.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,0.0
2020-02-20,0.6666666666666666,,,,,0.0015772870662460567,1.0,,,,,,,1.0,,,1.0,,,,,,,0.23994032792999187,,,,,,,,0.4375,,,0.08333333333333333,,,,,0.0,,,,,,0.6818181818181818,,,0.18947368421052632,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.15384615384615385,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.40476190476190477,,,,,,,,,,0.75,0.4444444444444444,,,,0.36363636363636365,,,,,,,,,1.0,,,,,,,,,0.4857142857142857,,,,0.125,,,,,,,,,,,,,,,,1.0,0.0,,,,0.3333333333333333,,1.0,,,,,,,,,,,,0.21428571428571427,,,,,,,,,0.0
